key,author,date,stars,title,helpful_yes,helpful_no,text,sentiment,keywords_2
0_bj,Realeyes,6/2/2019,2,Caramel ended 1/2 way through,0,1,The ice cream really didn’t taste like anything significant and then the caramel which carried the whole dessert ended half way through the cup :( very disappointed!,Negative," Ice Cream, Caramel, Significant, Disappointment"
0_bj,Nicole V,8/23/2019,1,Core went about an inch into the pint,0,2,The core was absolutely delicious for about a scoop of icecream. Then there was no core for the entire rest of the pint. Huge disappointment.,Negative,"core, delicious, scoop, icecream, pint, disappointment"
0_bj,deva,2/15/2018,3,good on top...not so good the further down you get,3,2,"I've seen this flavor multiple times at the grocery store the past few months and been tempted, finally pulled the trigger last week.",Positive,"flavor ,grocery store ,past few months ,pulled the trigger"
0_bj,,5/6/2018,1,Oh dear,21,39,"I feel like a dork writing a review for ice cream, but usually a pint only lasts us 3-5 days in our home and we were so disappointed with this one and it's still in the freezer a month later untouched. In addition, I love anything caramel but the salted caramel core was so overbearing, I honestly don't know how this made it on to be a final flavor after the taste testers tried it. It's just too salty. We scooped the caramel into the sink, but then the rest was just a little boring. I will still be a loyal B&J fan, but will be super hesitant when it comes to their caramel line.",Negative,"Ice cream ,Disappointed,Pint ,Salted caramel,Core ,Taste testers,Too salty ,Scooped,Boring,Loyal ,B&J ,Caramel line"
0_bj,BJBLU,9/3/2019,3,Why aren’t the brownie bits chewy?,0,1,Hello. I just bought my 4th and 5th pints of salted caramel core while awaiting Hurricane Dorian to arrive. I will have to say that my son and I greatly enjoyed the first 3. Plenty of salty caramel (yum) and plenty of brownie bits that were chewy to the bite. However these last 2 pints that I just purchased do have plenty of caramel and brownie bits but they aren’t chewy. They are more crumbly to the bite. I’m not sure if the first 3 were a fluke or these last 2 weren’t right. Is the brownie supposed to be chewy or crumbly? These last 2 were disappointing for us and makes me question whether we should buy this kind again.,Neutral,"Chewy, Crumbly, Salted Caramel, Brownie bits, Hurricane Dorian, Buying, Fluke, Pint, Disappointing"
0_bj,Buffaloed,6/24/2020,5,No Regrets!,0,0,"So it's the middle of June and I made an impromptu decision to get a small thing of ice cream during my shopping trip. I initially was thinking of going for a strawberry or peach flavor, but then I saw this pint and had a double take. I'd never try this flavor prior and man, I do not regret it. I love this pint. I love sweet cream and blonde brownie so this was a win-win. I like how to salted caramel is in the center so I have the ability to control how much I want in each bite. I do agree that the salted caramel is a bit on the salty side, but like I said, I have the control to put as little as I want in my scoop.",Positive,"Ice cream,Strawberry,Peach,Pint,Sweet cream,Blonde brownie,Salted caramel,Control"
0_bj,Calla,3/15/2018,5,Perfection!,1,1,"I'll be completely honest, I'm not generally a fan of caramel (it's just too sweet for me) but I gave this flavor a shot because of the sweet cream ice cream. As it turns out, the saltiness of the caramel core perfectly balances out the sweetness! I was pleasantly surprised by how much I enjoyed the salted caramel core. The blonde brownie chunks were also a nice touch and not too overwhelming. I feel like the ratio of mix ins to chunks was nicely balanced.",Neutral,"Salted Caramel Core ,Sweet Cream Ice Cream ,Blonde Brownie Chunks ,Ratio of Mix Ins to Chunks"
0_bj,April DD,3/7/2020,5,Wow just wow,0,0,Okay I was expecting an almost too salty weirdly over sweet ice cream but man was I wrong!!! No seriously!!! I started eating this ice cream and was transported to the first time I had gooey caramel pop corn... the ice cream was like eating sweet corn creamy and smooth and the chewy bits supposed to be brownie tasted like caramel pop corn that had gotten chewy and sweet soaked in ice cream.. then the salty caramel center was too good to even say but together the best caramel pop corn ice cream I have ever had.. even though I don’t know if that’s what they were going for lol.. my favorite flavor so far,Positive,"Ice cream, caramel popcorn, chewy brownie, salty caramel, caramel popcorn ice cream, favorite flavor"
0_bj,FuzzyGut,6/29/2018,4,"So good, but...",2,1,"This was my 1st pint of Salted Caramel Core but not my first Ben and Jerry’s Core pint. My first impression was that my core was HUGE! It was literally overflowing when I opened the pint! Wow! And the caramel itself was delicious; salty sweet and gooey! The sweet cream ice cream was very rich and cut through the sweet of the core nicely. My only issue was the blonde brownie bits. It’s not that they weren’t plentiful, I just really didn’t like the taste of them, which is sad because the rest of the pint was KILLER! The chocolate brownies in the other flavors are amazingly good so I was disappointed that these blonde ones weren’t very good and I ate around them. So, all in all, it was a good pint with amazing caramel, good ice cream and funky brownies.",Positive," Salted Caramel Core, Ben and Jerry's Core Pint, Caramel, Sweet Cream Ice Cream, Blonde Brownie Bits, Chocolate Brownies"
0_bj,SaltedCaramelLover,4/1/2020,5,Favorite Flavor!,0,0,"This is my all time favorite flavor. For me it's the perfect combination of sweet and salty and its upsetting to see so many people hate on it. I think vanilla would be too over powering but everyone's taste buds are different. I do agree the blonde brownie bits have been lacking... but I'm an eat the entire pint kinda gal.. oops..sit down to a good movie and this is my go to snack to grab (wish it came in a dairy free option, but I live in WI so I suffer through being lactose intolerant all the time)
So in short, it is sweet and salty flavor. I always have a partial scoop of ice cream to core spoonful I eat and I guess I'm the weirdo that runs outta caramel before ice cream... oops xD",Positive,"Sweet, Salty, Vanilla, Blonde Brownie Bits, Dairy Free Option, Caramel, Ice Cream"
0_bj,jordan3896,3/3/2019,2,Too much,0,2,I love carmel so much and as soon as I saw carmel core I grabbed it off the shelf. The carmel tastes great and I love the ice cream and blonde brownie pieces in it!!! The only thing that is wrong with it is how much carmel they gave me. It was 3/4 carmel and 1/4 ice cream. It wasn’t a good balance and I probably won’t get it again.,Positive,"carmel, ice cream, blonde brownie pieces, 3,4 carmel, 1,4 ice cream, balance, won't get it again"
0_bj,CollegeGal,4/14/2019,5,My Favorite Flavor- One of a Kind,1,1,"I always wanted a flavor of ice cream that was tailored to the way my taste buds worked. Most ice cream flavors from other companies that have cookie dough in it is chocolate based, but Ben & Jerry’s has cornered the market: this cookie dough is caramel and butter and cookie based (or blondie if that’s the correct term)! I’ve been buying it almost every weekend at college for a year! Please keep this flavor, it makes me so happy. The fact that there’s a cookie dough flavor that is chocolate free is one of a kind and not many ice companies make that!",Positive,"Ice Cream ,Ben & Jerry's ,Cookie Dough ,Caramel ,Butter ,Blondie ,Chocolate ,College ,Weekend"
0_bj,Margot,4/19/2020,1,Core more like pencil line,0,1,I was so excited to try the “core” pints. The picture they show online makes it look like a decent size and width. The reality: the core of my salted caramel pint was the width of a pencil eraser tip. Incredibly disappointing and 100% not as advertised. I feel duped.,Negative,"""Core"" ""picure"" ""online"" ""sized width"" ""salted caramel"" ""pint"" ""width of pencil eraser tip"" ""disappointing"" ""not as advertised"" ""duped"""
0_bj,ne26,6/19/2018,3,Core-full?,0,1,"I bought this on sale and was excited to try it. While the ice cream is light and blondies are a nice treat, I wish there was more of a salted caramel core. Mine did not go down even halfway, which is a pity because I love salted caramel.",Neutral,"Ice Cream ,Blondies ,Salted Caramel ,Sale,Core"
0_bj,Rileyhd,10/14/2017,2,Not terrible,0,2,I had to buy this to since they were all out of mint at the store...lots of Carmel Core which was a plus but no blondie chunks!!! Any were so tiny...very disappointed because Ben and jerrys rocks!!,Negative,"buy, mint, Carmel Core, blondie chunks, tiny, Ben & Jerry's"
0_bj,Pasz,8/15/2017,3,Why,0,2,I love this but where did my core go??????????????,Negative,"love, core"
0_bj,TimR,2/7/2018,3,Salty Caramel?,1,0,I know sweet cream ice cream probably wouldn't be a big seller but I wish B&J would make more flavors with a sweet cream base or just a plain sweet cream ice cream. When the flavor was 1st introduced I used to get this regularly but it got to a point I was throwing away most of the caramel because it was too salty. I will still occasionally purchase as there are no other flavors with sweet cream.,Neutral,"Sweet cream,Ice cream,B&J,Flavor,Caramel,Salty"
0_bj,Cranky Yankee,1/26/2019,3,Too salty,1,0,"Bought this recently because my local target has stopped carrying Blondie Ambition, which was my favorite. I love the sweet-cream ice cream; my container didn't seem to have very many blondie chunks (which was disappointing, see previous) and the salted caramel core was overly salty. It was okay. I might buy it again but would rather have Blondie Ambition.",Neutral,"Ice Cream ,Blondie Ambition ,Blondie Chunks ,Sweet Cream ,Salted Caramel Core ,Target ,Local Target ,Okay ,Buy Again"
0_bj,karen511,9/18/2017,2,Ok..,1,0,"I really wanted to like this flavor but it was quite disappointing. Halfway into the pint, the core pretty much disappeared. There was way too much at the top and it wasn't dispersed evenly throughout the ice cream. The caramel was also way too salty for my tastes. Also wished there were more brownie pieces, only found a few in the entire pint.",Negative,"flavor, disappointing, core, way too much, not dispersed evenly, caramel too salty, more brownie pieces"
0_bj,drewmar,9/13/2017,3,Blonde brownies??,3,1,"Couldn't find any in my pint. But the rest is fabulous, don't change a thing!",Positive,"pint, fabulous, change"
0_bj,Tornado7,3/29/2018,1,So disappointed!,1,0,"I had a major craving for ice cream so of course I had to go to the store for some Ben and Jerry's! I was really excited about this flavor, but after a few bites I was gagging. It was too salty and there were barely any brownie chunks :/ I'm really sad this ice cream is going to go waste, but I'm not happy with my purchase at all.",Negative,"craving ,Ben and Jerry's ,flavor ,salty ,brownie chunks ,ice cream ,purchase"
0_bj,Sunrise,7/14/2017,2,Blondie Crumbs,1,0,Just bought this last night and like some of the other reviews there were only a few flecks of blondie. Mine was nothing like the photos. And so the combination of just ice cream and such salty caramel was disappointing and unbalanced. I don't know if the core extended to the bottom since I didn't eat enough to find out.,Negative,"Review,Bought,Last night,Few flecks,Photos,Ice cream,Salty caramel,Unbalanced,Core,Bottom"
0_bj,JandM,5/6/2018,2,So Disappointed :(,1,1,"I never thought I would not like a Ben & Jerry's flavor, but it's happened :( When my store didn't have my favorite flavor, I thought I would try the Salted Caramel Core - the description sounded great. Unfortunately, the caramel was *way* too salty - I ended up scooping it all out. The vanilla ice cream was good, but the brownie pieces had no flavor. I've never been disappointed by Ben & Jerry's before, but I guess there's a first for everything :(",Negative," Ben & Jerry’s , Salted Caramel Core , Vanilla Ice Cream , Brownie Pieces , Disappointing"
0_bj,ASaltyFan,7/7/2018,2,They sure meant it when it said salted,1,0,"The salted caramel core tastes like someone went a little too salt happy. There was just too much core in ratio with the ice cream an in addition to the bad core to ice cream ratio, the core was just too salty to handle. Please fix the core because the ice cream itself with the blonde brownie bits are delicious.",Negative," Salted caramel , Ice cream , Blonde brownie bits , Too salty , Bad core to ice cream ratio"
0_bj,elephantsforever3,2/14/2019,1,"Horrible pint, bland brownies",2,2,"I was excited for this ice cream because I love blondies and caramel, but it was the one flavor I've tried that I strongly dislike. The core didn't go deep at all and it was SO salty that it made me feel kind of sick. The brownies were dry and sparce and I barely could taste them. The base was alright, I guess. Really dissapointed. I think this flavor needs to be fixed or just stopped being made.",Negative," Ice cream, Blondies, Caramel, Core, Salty, Brownies, Dry, Sparce, Base, Dissapointed, Fixed, Stopped"
0_bj,Rudy58,8/12/2019,5,Best B&J Pint ever!,0,1,"I've been hooked on this flavor for more than 2 weeks now. I wish I'd have known about it sooner lol! The Salted Caramel Core is very good and the Blonde Brownies make this product over the top. I do have one complaint though. I buy maybe 4 pints or more a week and everytime I open one and start eating them they are all different as far as how many brownie peices there are or the caramel. Sometimes there's a ton of salted caramel at the top which can be overwhelming and then it's gone half way down. Other times it's normal until you get about halfway and there nothing but the sweet cream ice cream with no caramel or brownies. It's always different, however I'm still in love with this flavor and I highly recommend it! Please B&J see if y'all can get them all the same lol",Positive,Salted Caramel Core -Blonde Brownies -Sweet Cream Ice Cream -B&J -Caramel -Brownies
0_bj,CollegeGal,4/13/2019,5,My Favorite Flavor,0,1,"I always wanted a flavor of ice cream that was taylored to the way my taste buds worked. Most ice cream flavors from other companies that have cookie dough in it is chocolate based, but this cookie dough is caramel and butter and cookie based (or boo die if that’s the correct term) I’ve been buying it almost every weekend at college for a year!
Please keep this flavor, it makes me so happy. The fact that there’s a cookie dough flavor that is chocolate free is one of a kind and not many ice companies make that!",Positive,"Ice Cream,Cookie Dough ,Caramel ,Butter ,Chocolate,College,Weekend"
0_bj,atik,11/16/2017,3,Too salty,1,0,"The blondie mix ins and sweet cream ice cream were nice, but I really wasn't a fan of the caramel core, because it was far too salty. You've got multiple reviews saying that it's too salty, please don't skim over those reviews. Please consider tweaking the recipe on this one so it's less salty.",Negative," Blondie Mix Ins, Sweet Cream Ice Cream, Caramel Core , Too Salty, Tweaking Recipe"
0_bj,jessiraes,6/7/2018,2,Good in theory...,1,0,"I usually love salted caramel foods, and I adore Ben & Jerry's decadent ice creams. The ice cream was excellent, the brownie pieces were yummy, but the caramel tasted way too salty! The salt is supposed to compliment the caramel, not overpower it. I'm pretty disappointed.",Negative,"Salted caramel, Ben & Jerry's, ice cream, brownie, caramel, salty, compliment, overpower, disappointed"
0_bj,Linda895,4/4/2018,3,Too salty,1,0,"I love anything caramel. I was super excited when I saw the whole core was salted caramel. However it was way too salty, I even tried mixing it with the sweet cream ice cream and it was still too salty. It could also use more of the brownie, which was certainly delicious.",Negative," Caramel , Salted Caramel , Sweet Cream Ice Cream , Brownie"
0_bj,Aggs,6/8/2017,5,My all time favorite ice cream!!!,1,1,"I.JUST.LOVE this ice cream!!! if I eat ice cream, it must always be B&J salted caramel core! I think I'm addicted. It's a perfect combination between sweet and salty, plus delicious caramel and chewy chunks. I noticed that some pints don't have that much chunks but the vanilla ice cream itself is pretty yummy and honestly, I cannot stay mad for long haha! If B&J's ever discontinue this flavor, I think it could be the end of my world!",Positive,"ice cream,B&J,salted caramel core,sweet and salty,caramel,chewy chunks,vanilla ice cream,discontinue"
0_bj,Andrew5,4/12/2017,5,Absolutely fantastic,2,2,"I bought this ice cream simply based on the fact that I was craving caramel. But with this wonderful ice cream, you get so much more. Not only is the Ice cream and blonde Brownies perfect...but the caramel is just so good. You almost want to save the caramel as long as you can because how perfect the flavor is. It's the perfect amounts of sweet and salty.",Positive,"Ice cream,Blonde brownies,Caramel,Sweet ,Salty"
0_bj,Curt,3/8/2018,1,Way too salty,2,1,"There must have been some sort of mistake with the amount of salt mixed into the caramel. Nobody would but that much saint into a desert. The pint it's still on our freezer. On a side note, Cherry Garcia is the best ice cream ever made.",Negative,"Salt, Caramel, Mistake, Desert, Freezer, Cherry Garcia, Ice cream"
0_bj,Sheyla1110,3/9/2018,2,SALTY!!!,1,0,Tried this flavor for the first time about two weeks ago it was delicious; But today I’m extremely disappointed. The core is so salty in this pint. I had other people try and they also agreed it was too salty. Don’t think I’m buying again.,Negative,1. Flavor 2. Disappointed 3. Too Salty 4. Buy Again
0_bj,Margaret,9/7/2018,2,Too salty,1,0,"I am a lover of all things caramel, and while the ice cream and the blonde bites were delicious, I found myself eating around the core because it was just too salty. Tasted like caramel flavored salt. Very disappointed in this flavor.",Negative,"Caramel,Ice cream,Blonde bites,Salt,Flavor"
0_bj,Ohlivia,6/5/2017,5,I love it I love it.,2,1,Salted caramel core is in my top three. My eating tactic is to scoop the ice cream from the outside and then smash the back of the spoon into the core so when I take a bite the first thing I'm hit with is salty and then it's sweet.,Positive,"Salted caramel, ice cream, eating tactic, scoop, spoon, salty, sweet."
0_bj,Atsoli,6/3/2018,1,Horrible!,1,0,"My daughter picked up this flavor for me to try because I love Carmel. I have to say, this is the worst flavor I have ever had. The blonde fudge was bland but the salted Carmel was the worst. It was so salty that I couldn't eat it.",Negative," Carmel, Blonde Fudge, Salted Carmel, Worst Flavor"
0_bj,Ashley L,9/23/2018,2,Has potential,1,0,"I love Ben & Jerry and was excited about the Salted Caramel Core, BUT the caramel is WAY to salty. I even tried to eat it with more ice cream But the salty flavor is too powerful. Disappointed, I know Ben & Jerry could do better !",Negative,"Ben & Jerry,Salted Caramel Core,Caramel,Salty flavor ,Ice cream,Disappointed"
0_bj,GodsGirl69,6/7/2017,2,Caramel core was WAY to salty.,1,0,"Tried this for the very first time today. The caramel core was extremely salty. Way to salty to actually enjoy the caramel. Left a bad after taste.
On a positive note, the core was gooey and easy to scoop out with a spoon.",Negative,"Tried ,Caramel Core ,Extremely Salty ,Enjoy ,Bad After Taste ,Gooey ,Easy to scoop out"
0_bj,Mpitts,5/21/2017,1,Not a fan of brownie chunks,1,0,I really can't stand the flavors with chunks of cookie/brownie. It seems like I'm eating something stale. I'm in the minority but I stopped going to a convenience store near me because all they carried were those types.,Negative,"Flavors ,Chunks,Cookie,Brownie,Stale,Convenience Store"
0_bj,Raebirds,1/28/2019,3,Too Salty for my buds,1,0,"I had high hopes for this flavor, but the carmel core was way too salty. I was hoping for a sweeter kraft caramel taste. The blonde brownie bites were just okay...not much traditional brownie flavor. Won’t buy again.",Negative,"review, carmel core, salty, sweeter, kraft caramel, blonde brownie bites, traditional brownie flavor, won't buy again"
0_bj,Iceicecream430,2/11/2018,1,Don’t buy this one!,1,0,I absolutely love Ben and Jerrys ice cream but this one was horrible. The picture looks like there will be tons and brownies and there were only 5 tiny bites in the whole pint. The caramel core was overly salty too.,Negative,"Ben and Jerry's ,Ice Cream ,Brownies ,Caramel Core ,Overly Salty"
0_bj,Kaitie13,9/14/2018,2,Where did the core go???,0,1,"So this used to be one of my favourite flavours! The Caramel is very salty and the blondie bits are very chewy but i love that!
The disappointment comes in the fact that the first few times i got this the core went right through to the very bottom! A thick gooey caramel all they way to the last bite. Each time I have gotten this since I have found the caramel to end sooner and sooner in the pint. This last container the caramel went about half way through .
Please bring back the core!!",Negative,"Caramel ,Blondie Bits ,Gooey Caramel ,Thick Gooey Caramel ,Core"
0_bj,Sparky,7/27/2017,3,Core is misleading,0,1,"I enjoyed the of flavor of the ice cream. But I was expecting much more caramel. When the label reads ""Salted Caramel Core"", I expected the caramel to be from the top to the bottom. At least that's what I think of the core to be. Like an apple core, it's in the middle from top to bottom. The core is the center of things.",Neutral," Flavor, Caramel , Salted Caramel, Core, Apple, Top, Bottom"
0_bj,gilderoy,7/12/2019,1,the worst thing to ever be in my mouth,1,0,the caramel tastes like salty death. I think I have sodium poisoning from one bite. Gross as heck like why would you do this to people. Who let this pass the taste test??? Fr fr are y’alls tongues blind?,Negative,salty deathsodium poisoningtaste testblind
0_bj,MikeA128,10/30/2017,3,Used to love! Keyword’s “used to”,0,1,"I found the salted caramel core shortly after discovering Karamel Sutra. Needless to say I fell in love! The flavors were amazing and the gooey salted caramel and blondie chunks went perfect together. Until the last 12, yes I said 12! Pints I bought, all fell short. They either had very few brownie chunks, the core stopped halfway through, or there was a pocket of air at the bottom where caramel should have been. I give up! I want my salted caramel, but not at 4.50/pt to be left unhappy.",Negative,"Salted Caramel,Karamel Sutra,blondie chunks,brownie chunks,pocket of air ,4.50,pt"
0_bj,Gabby,10/17/2017,2,Didn't like it,1,0,"I tried this ice cream when it first came out, didn't care for it. It seemed as though it was missing something and I really didn't like the salted caramel. I like the Karamel Sutra much better.",Negative,"ice cream,salted caramel,Karamel Sutra"
0_bj,klyoliphant,7/14/2017,3,"Good ice cream, too salty",1,0,"The sweet cream and blondie chunks were delicious, but the core was almost too salty to eat. The taste of salt was completely overpowering the caramel flavor. Good overall, just needs less salt.",Negative,"sweet cream, blondie chunks, salt, caramel flavor, less salt"
0_bj,DeeMarieT,8/11/2018,1,Too salty,1,0,The core just tastes like salt with no caramel flavour. The ice-cream was floury & the blonde brownie pieces had no taste. Worst flavour I’ve ever had. Very disappointed. :(,Negative,"keywords: salt, caramel, floury, blonde brownie, taste, disappointed"
0_bj,Goodduncan,2/21/2018,4,Love this-but need more,1,1,"I purchase this flavor A LOT. Probably too much honestly. I have lived this for a while. Recently the punts seem to be lacking be caramel core to the bottom of the pint and the blondies are missing. There’s like 2 spoons of the caramel and 3 pieces of blondie.
Like I said before, I live this flavor. I just hope the manufacturing can go back to when I first found this flavor and fell in love!",Positive," Flavor, Purchase, Caramel, Blondies, Manufacturing"
0_bj,GAPat,6/24/2019,3,Meh!,1,0,The ice-cream is disappointingly tasteless...why not use vanilla. The caramel us too salty and intense...why not swirled? The brownie bites were few and far between.,Negative," ice-cream , vanilla, caramel , salty, intense, swirled , brownie bites"
0_bj,Jade_12,6/19/2017,2,"Brownies good, Caramel not so much",1,0,I love Ben and Jerrys! The brownies and ice cream were very good! The caramel was just overwhelmingly salty. I couldn't even eat it. Maybe it's just not for me. :(,Negative,"Ben and Jerrys,brownies,ice cream,caramel,salty"
0_bj,Jmask,7/15/2018,1,Very salty,1,0,I had looked forward to trying this flavor but found the core saltier than the ocean. As someone who loves caramel this is the worst caramel I have ever tried. I,Negative," Review, Flavor, Salty, Caramel, Worst"
0_bj,VJRaye,10/5/2017,2,SALTY!!,1,1,"Typically I love salted caramel desserts (or caramel in general), so when I saw this ice cream I was eager to try it. That caramel core nearly knocked me over with its saltiness!! For me, it overpowered the combined flavor of sweet cream, brownies and caramel. I agree with the other reviewers, vanilla ice cream might have been a better balance. However, I do like the blondies. So close!! :-(",Negative,"Salted Caramel,Caramel,Ice Cream,Sweet Cream,Brownies,Vanilla Ice Cream,Blondies"
0_bj,Drew C,9/9/2018,3,Almost Delicious,0,1,"the flavors are great and they work well together. Unfortunately, they do not work well with the core concept. The caramel would be much better if it were evenly distributed throughout the ice cream, rather than isolated in one huge pool. The blondies could pack a bit more flavor as well. So far, I have yet to have a variety of Ben & Jerry's core flavors that would not taste better if the flavors were evenly distributed. They almost taste like a cheap Ben & Jerry's knockoff.",Negative,"Flavors,Caramel ,Blondies ,Ben & Jerry's ,Core Concept ,Cheap Knockoff ,Evenly Distributed ,Pack Flavor"
0_bj,USAFVeteran87,6/27/2017,2,Great but really salty in the caramel core...,1,1,I bought this favor couple of days ago and thought what could be bad about a salted caramel core. Everything was great except the core was so salty that it drowned out the other favors. I do mean salty the 180 mg are in the caramel core. It left a nasty taste in my mouth. Anybody who needs to watch there salt intake shouldn't eat this ice cream favor.,Negative,salted caramelcore180 mgsaltynasty tastewatch salt intake
0_bj,Val3914,6/15/2017,2,Salt core?,1,1,"I bought this the other day and was so excited, but when I tried it, the core was way too salty. I love salted caramel, and all the other reviews rave about the core so I'm pretty confused.. Maybe I got a bad pint but it was like salt with an essence of caramel. Sooo overpoweringly salty; first time I've avoided a swirl or core :(",Negative,"Salted caramel, Core, Overpoweringly salty, Swirl, Bad pint"
